Date,Open,High,Low,Close,Volume
2015-01-01,31490.142459033697,32108.206550278912,30911.62395080266,32723.199374874755,42859
2015-01-02,29585.207096486447,30022.475751891317,29262.97519272347,30652.405645187988,13877
2015-01-03,31943.06561430208,32447.587885202076,31371.591049313185,32565.253652100364,28720
2015-01-04,34569.089569224074,35074.20935941218,34092.461975009246,34628.83824333358,17676
2015-01-05,29297.539875829993,29747.36145654884,28726.794104743556,29315.540186426344,41818
2015-01-06,29297.589129152457,29660.342574364047,28719.895959916976,29908.628947043064,44348
2015-01-07,34737.63844652218,35269.935896883944,34076.846940410265,34424.30195891895,34130
2015-01-08,32302.304187458725,32796.20379027319,31666.958822696604,30796.287586284754,43241
2015-01-09,28591.576842195143,29141.6008891388,27956.919675934114,28985.18008547751,36620
2015-01-10,31627.680130757893,32074.320100113975,30983.31309884127,30722.825226809917,27077
2015-01-11,28609.74692156261,29231.829051443918,28080.60902308102,27840.033939010304,22663
2015-01-12,28602.81073928923,29015.133361168046,28099.592230585546,28602.98989768586,27799
2015-01-13,30725.886814698104,31397.090843099893,30138.60510638027,30649.786912655327,27619
2015-01-14,24260.159266026607,24585.39561504378,23686.951170883305,23130.498780974103,13967
2015-01-15,24825.2465024609,25368.72350891659,24356.153126134726,24957.639753767413,37488
2015-01-16,28313.137412277083,28860.680480529747,27772.655071396257,29086.049140965923,23211
2015-01-17,26961.50663899673,27381.95093220264,26465.01628567519,26058.8333827841,31169
2015-01-18,30942.741997785823,31485.181391571925,30528.135288631827,31960.72866246483,40373
2015-01-19,27275.927773436368,27903.879640412382,26646.881699298734,26027.791113332412,42669
2015-01-20,25763.088895994126,26041.40701205872,25257.568971741115,27456.94821149089,16634
2015-01-21,34396.946306764665,34947.22078751375,33692.07548099478,34067.93796237788,10840
2015-01-22,29322.67109854039,29573.344016507384,28985.220325560374,29439.164696001906,44229
2015-01-23,30202.584614063773,30606.01813371145,29758.26249134811,28688.957756075237,31318
2015-01-24,25725.75544135963,26388.672077849726,25222.491557690544,25676.046588184185,25405
2015-01-25,28366.851826424452,28808.673623085248,27753.11371666156,28549.637568599006,46240
2015-01-26,30332.767769129598,30715.3797726887,29792.82083186938,30263.838085850002,25847
2015-01-27,26547.019267733092,27027.225494834624,26015.97199231502,26096.554406091193,33547
2015-01-28,31127.094055037014,31833.88468885337,30739.82043429243,30369.84244021476,16575
2015-01-29,28198.083930243585,28514.915705522984,27813.77806996653,29102.505225873432,40123
2015-01-30,29124.91875062017,29519.787759456238,28592.668284591182,29149.56445861853,14843
2015-01-31,28194.88016331181,28844.623331629773,27831.290762693647,29427.482064525226,37451
2015-02-01,35556.834553526816,36242.60478788059,35110.02232855575,35135.648669690876,17739
2015-02-02,29959.5083257862,30449.16520335717,29409.416592877613,29611.672571088424,24852
2015-02-03,26826.8672131323,27202.961942879636,26425.09964035998,27479.34260880923,19157
2015-02-04,32467.634736309567,33177.219086490484,31807.099140073387,31169.254766706716,32406
2015-02-05,26337.469050086933,26996.91328926185,25715.075415663145,25366.698361964594,17432
2015-02-06,30626.590785014265,31194.48548379049,30283.732784848096,31504.578762096797,28837
2015-02-07,24120.989628360672,24539.74939346693,23714.22675267887,23183.442484982115,25148
2015-02-08,26015.441853304706,26510.538919220904,25744.019577754203,24560.201041062668,21194
2015-02-09,30590.58370760737,31074.547699502888,30168.84284386218,32085.40545806584,42591
2015-02-10,32215.39973998623,32748.484870447788,31638.76089232899,31100.345621686865,24819
2015-02-11,30514.104843569912,31159.204987383047,30055.494337797398,30661.40036223245,16625
2015-02-12,29653.055152835277,30240.996856949016,29106.97542847368,29708.323307014693,17404
2015-02-13,29096.688913232134,29488.951305533657,28748.92234506031,26848.186259937665,24674
2015-02-14,25564.43402889772,26202.083673899673,24984.636503439528,25350.580410363473,20507
2015-02-15,27840.467374815875,28371.78058881719,27395.978297608708,28199.19797439916,30387
2015-02-16,28618.083687120637,29186.79026670653,28116.866718892346,28901.531192335726,28697
2015-02-17,33171.36667865675,33818.02076458461,32680.654128796054,33894.18322569955,47391
2015-02-18,31030.854868705384,31419.69684375403,30658.009720794613,30720.86181678104,29547
2015-02-19,24710.879533911797,25207.29697604115,24326.187967085774,25280.883087585524,33570
2015-02-20,30972.251908184386,31419.106453048465,30375.472461284044,30420.788653720327,49783
2015-02-21,28844.75315875105,29187.967216214503,28304.85394300088,27716.37922562083,38037
2015-02-22,27969.233999082124,28503.904996842615,27364.22909492678,26931.05129853714,40083
2015-02-23,31835.028866522603,32586.184521681047,31302.563042972353,30665.34050236627,47982
2015-02-24,33092.998567487855,33408.99079303728,32578.699504006934,33900.667341800814,49706
2015-02-25,32793.8403573486,33290.61229624365,32466.441419215276,31582.181550101755,12988
2015-02-26,27482.347430332084,28046.40172383956,27009.3841000082,27701.578502851527,15156
2015-02-27,29072.362872446356,29584.670692611973,28575.10130448673,28859.62351718841,48280
2015-02-28,30993.790294210692,31482.477488959117,30298.479574383433,30911.671435450186,19788
2015-03-01,32926.63538136708,33296.7137450225,32357.939718157213,34017.52121752684,24185
2015-03-02,28562.47728646413,29085.755960758146,27908.87116829318,28211.735392691913,28734
2015-03-03,29443.02307000855,29867.346672306954,28883.269299419077,29932.304319248295,19971
2015-03-04,26680.995077981916,26962.00290748406,26252.125400676865,26711.045759086806,16487
2015-03-05,26411.380127757988,27030.83934980936,25899.667706143002,26289.76500325183,30997
2015-03-06,32437.577467182593,33033.4160491668,31913.95510255617,34277.55276669177,22452
2015-03-07,34068.72008571247,34573.886183397575,33662.635642689536,32915.64668914017,25372
2015-03-08,29783.969635259,30306.87710407957,29322.408372918293,30815.275103608954,23434
2015-03-09,33010.598693676075,33618.030494947634,32531.17539304379,33535.72394606805,22416
2015-03-10,31084.908075142903,31607.34204082071,30424.34609188639,30701.288079437476,29248
2015-03-11,28064.64073618463,28655.04249166076,27772.714788723726,29368.095550137918,38194
2015-03-12,31084.18681652524,31554.438596437856,30463.604974453636,29605.698726614413,43785
2015-03-13,34614.10969939791,35245.308073255306,34207.78922289384,34196.696373558654,47458
2015-03-14,29892.521882670146,30424.600455263415,29529.72980139711,28925.736119254885,18373
2015-03-15,34693.93096744202,35213.33616180261,34075.936754438175,35023.59773933919,40283
2015-03-16,22140.764687730767,22513.758578859564,21567.57488080733,21250.313406781024,39415
2015-03-17,32465.70751312567,32994.40309855584,31840.255642887554,32812.15867051873,36414
2015-03-18,30261.141204714513,30677.94571296507,29681.071009959956,30111.99207205727,24378
2015-03-19,29102.977948602398,29539.14967594955,28396.993448428657,28719.49479447753,28336
2015-03-20,30275.282329606507,30693.744766774897,29719.40994591206,30586.200126433156,14700
2015-03-21,24037.29325619732,24430.669763007398,23552.940993809636,23822.39595704687,23901
2015-03-22,29340.984336487465,30053.46147678916,28806.69169875533,28470.076462040233,34838
2015-03-23,31071.33771453524,31704.47162073408,30446.990801700642,33312.43610624322,32597
2015-03-24,34433.682134224546,35125.718884438975,34011.61966675056,34043.94838780123,43428
2015-03-25,28445.189345179057,28822.8998432235,28010.378203432196,26671.102081057445,45687
2015-03-26,27574.519191320436,28081.644566311526,27105.415192780227,26900.840239543326,39493
2015-03-27,28494.72886924639,28865.37810672598,28205.187149122925,27480.907518548207,41852
2015-03-28,32746.206353106223,33176.636865386514,32232.39851226447,33407.12284593863,20932
2015-03-29,30986.25332897905,31394.440630637393,30674.866199374155,31243.57545665232,33009
2015-03-30,28410.719388698883,29034.677789343037,27905.413457405622,28729.689630131157,43583
2015-03-31,31539.802299340066,32000.17933152989,30953.273323726542,31243.78432667027,37994
2015-04-01,30291.232648044122,30898.070581413525,29838.920294108506,30067.752450398584,39865
2015-04-02,32905.93497159867,33466.34706055752,32238.223384579982,32609.190088712534,22289
2015-04-03,27893.840718367945,28624.204593578423,27539.890808309792,27828.88617105957,38293
2015-04-04,29017.013560206695,29369.069137892722,28397.887492043512,29685.280308498564,14734
2015-04-05,28823.675540603526,29449.598864582207,28256.161834962833,29092.535870607804,30013
2015-04-06,25609.455155603646,26224.09924264372,25281.058480434716,26009.54541930034,45521
2015-04-07,30888.360831193728,31291.022947391026,30117.281401289674,31288.00795779309,16505
2015-04-08,30783.16581653967,31383.879150186985,30289.540345090067,31490.719766445058,14685
2015-04-09,30015.340369927384,30548.954866230008,29603.088772142946,30245.860403159586,28409
2015-04-10,29296.23859987456,29773.49097387922,28936.947319352963,29583.317058017696,29517
2015-04-11,25753.887773848757,26171.494225151557,25275.889576614725,26704.932766803282,40475
2015-04-12,28738.06403170392,29166.153086559003,28250.804718942916,28206.027297301433,46989
2015-04-13,28971.85645041969,29676.837659998284,28461.591897565726,28287.262386458486,25327
2015-04-14,27593.168192335143,28093.23647423089,27122.94780795754,26644.43091298566,13671
2015-04-15,29516.142865001973,30094.35586515512,28952.820333990465,29662.47451589818,14941
2015-04-16,31212.152570443614,31633.06263227686,30750.91555370994,29729.166777468316,36372
2015-04-17,35658.55770363159,36080.57240900942,35352.05411535563,36028.28098047933,22466
2015-04-18,30523.733438495517,31131.931919420513,30038.669588060482,30436.378962895076,28286
2015-04-19,30772.651172168295,31137.69355101314,30509.398937505623,31680.36293202514,14588
2015-04-20,29776.6622527015,30235.140875910973,29241.28518961236,29239.128404329505,38080
2015-04-21,24243.686354102876,24747.0890952101,23841.61637713114,24081.03172576887,34544
2015-04-22,29920.45837365235,30431.595633836354,29404.12233816077,30818.221040287044,20811
2015-04-23,30180.69062982308,30662.78130132146,29549.283131670618,31287.1991472456,28733
2015-04-24,37389.72633745586,37929.30831556545,36984.60120698266,36845.604444854405,49888
2015-04-25,29422.917105656634,29992.202681238414,28816.791479805423,29568.34209172636,40059
2015-04-26,30904.64202700084,31478.105781546772,30447.980983669455,31140.177209148078,47487
2015-04-27,29895.86469088427,30297.284310017487,29220.545210677712,30194.78741538119,24550
2015-04-28,26493.965887141403,26965.55037734852,26030.481148461226,26283.905359688906,20864
2015-04-29,33428.46844354506,34047.94472973276,33012.51774209573,34453.57516204397,35394
2015-04-30,32255.79909806032,32845.26381681771,31687.07525302079,30744.036311163083,29061
2015-05-01,32373.09584112914,32735.809895981034,31916.674814091504,32036.19165328827,22624
2015-05-02,27271.837635615782,27806.985625651003,26855.982587028684,27630.18222183414,34934
2015-05-03,34208.382932808294,34510.56040787081,33756.166917878676,34574.16278236777,13361
2015-05-04,25794.44681162316,26299.140301829197,25298.907464841457,26876.654036114967,23707
2015-05-05,31760.57128140081,32450.347983075408,31126.353268276325,32719.15159596184,11924
2015-05-06,36571.36687742994,36976.57760570304,36264.77565197589,36342.93357718416,39487
2015-05-07,27028.391024607936,27444.958720058778,26526.082958712894,28068.28801943242,22647
2015-05-08,28301.106811191683,28877.50978934897,27738.61645172628,27729.873416169718,41734
2015-05-09,30298.954095262925,30644.67394374196,29779.609237763747,31043.664001496396,39018
2015-05-10,28489.573037651404,28926.2975346629,27858.58652070805,29937.9910203882,31627
2015-05-11,25348.009706801604,25907.65382055978,24855.444239777455,26319.96499228558,31031
2015-05-12,30205.688924418082,30642.260339649143,29724.144068636677,30290.30523123738,49449
2015-05-13,26813.088858821684,27289.49186010059,26253.855904120348,26547.665841403985,12701
2015-05-14,31420.777291905546,31995.19586293705,30910.84591041041,30197.904254898116,26719
2015-05-15,27241.727297298592,27783.881905652248,26780.768171126638,27490.159007629954,19718
2015-05-16,34649.80321505262,35176.48505468216,34098.18881109398,33757.62943267589,10056
2015-05-17,27650.24012299129,28116.327895064285,27215.492952312954,27015.73239210014,25352
2015-05-18,29033.815451382972,29570.821562909867,28594.933166584906,28081.218810793634,13147
2015-05-19,32440.55165210901,32928.17838409903,31993.351054285573,32072.237785983685,13537
2015-05-20,26307.407050698133,26853.18761169071,25672.100134681492,26285.031519108546,32812
2015-05-21,30682.37980381239,31132.686601300593,30504.48143941096,30901.271468744955,10721
2015-05-22,33921.42826284729,34403.17136540933,33381.86837937099,33441.02295451611,26769
2015-05-23,25177.550296316316,25578.554517061115,24674.123114896294,26032.97726143246,24346
2015-05-24,30553.901575596912,31050.400814596287,30221.988621520723,30387.33736920494,49883
2015-05-25,30779.648382745272,31198.54829638239,30248.675704831672,30149.470436132855,20911
2015-05-26,32345.46861533193,32734.063970315732,31797.893416148778,32526.502429126678,10259
2015-05-27,26289.147867365755,26815.013982151293,25730.183944230015,27859.99013420081,30872
2015-05-28,26038.630160747172,26559.90413833294,25803.81296705167,26306.758613975268,18791
2015-05-29,31565.824696850694,32144.112070345553,30929.18575566525,31275.54019495181,17536
2015-05-30,30890.95401969956,31347.84146274205,30464.72769016804,29668.984934804594,30432
2015-05-31,30751.47855103763,31292.283835721308,30182.821776362314,30575.948694259976,42750
2015-06-01,31039.344628490926,31594.424385718292,30465.2372504227,31227.28712856142,29541
2015-06-02,27959.925835264527,28504.403216047685,27547.595543826457,27649.86112226007,26860
2015-06-03,30696.76109148301,31114.195723202796,30130.715096247855,29364.453380890212,15283
2015-06-04,30879.217419896042,31394.15376812316,30417.76674398728,30198.765108293293,40743
2015-06-05,27856.945745920897,28393.35977552636,27564.083463854713,29020.576514631102,45127
2015-06-06,35597.32353343427,36098.04138012506,34980.54934088149,36744.52433641864,17405
2015-06-07,31421.498762735362,31712.850996898254,30999.003259036985,30712.187427371682,41181
2015-06-08,26426.089508392055,26942.138470789403,26011.53885466586,26964.294938151594,42205
2015-06-09,31969.66082590149,32690.913929841216,31509.967412705162,31026.802598085353,34408
2015-06-10,27075.954989318037,27539.95106244234,26548.7313167853,28199.408014914,27645
2015-06-11,32361.253811227354,32788.44610144182,31866.980852309563,32557.442489542744,16323
2015-06-12,33475.78673702221,34013.121592993346,32920.98004455149,34235.49993591544,15937
2015-06-13,27537.95304494487,28069.190865991524,27171.901981597734,26165.87836719884,40431
2015-06-14,32890.12838773296,33509.4019042746,32464.367024776035,33432.23806927288,27882
2015-06-15,31238.342780809497,31612.55596521861,30749.942488041648,31232.203529861894,35324
